Period,Timestamp,load,predicted,Delta (kW),Absolute Error (kW),Squared Error,Error (%)
Apr-25,2025-04-10T16:00:00,0.21,0.256,0.046,0.046,0.002116,22.05%
Apr-25,2025-04-10T16:15:00,0.21,0.246,0.036,0.036,0.001296,17.31%
Apr-25,2025-04-10T16:30:00,0.21,0.253,0.043,0.043,0.001849,20.45%
Apr-25,2025-04-10T16:45:00,0.24,0.193,-0.047,0.047,0.002209,19.60%
Apr-25,2025-04-10T17:00:00,0.25,0.22,-0.03,0.03,0.0009,11.97%
Apr-25,2025-04-10T17:15:00,0.25,0.274,0.024,0.024,0.000576,9.63%
Apr-25,2025-04-10T17:30:00,0.25,0.238,-0.012,0.012,0.000144,4.95%
Apr-25,2025-04-10T17:45:00,0.24,0.229,-0.011,0.011,0.000121,4.46%
Apr-25,2025-04-10T18:00:00,0.24,0.229,-0.011,0.011,0.000121,4.44%
Apr-25,2025-04-10T18:15:00,0.21,0.232,0.022,0.022,0.000484,10.57%
Apr-25,2025-04-10T18:30:00,0.21,0.265,0.055,0.055,0.003025,26.08%
Apr-25,2025-04-10T18:45:00,0.23,0.263,0.033,0.033,0.001089,14.41%
Apr-25,2025-04-10T19:00:00,0.31,0.27,-0.04,0.04,0.0016,12.83%
Apr-25,2025-04-10T19:15:00,0.33,0.33,0,0,0,0.12%
Apr-25,2025-04-10T19:30:00,0.38,0.365,-0.015,0.015,0.000225,3.92%
Apr-25,2025-04-10T19:45:00,0.78,0.799,0.019,0.019,0.000361,2.47%
Apr-25,2025-04-10T20:00:00,1.65,1.693,0.043,0.043,0.001849,2.58%
Apr-25,2025-04-10T20:15:00,1.66,1.72,0.06,0.06,0.0036,3.59%
Apr-25,2025-04-10T20:30:00,2.64,2.928,0.288,0.288,0.082944,10.91%
Apr-25,2025-04-10T20:45:00,0.81,0.8,-0.01,0.01,0.0001,1.27%
Apr-25,2025-04-10T21:00:00,0.73,0.735,0.005,0.005,0.000025,0.73%
Apr-25,2025-04-10T21:15:00,1.47,1.423,-0.047,0.047,0.002209,3.17%
Apr-25,2025-04-10T21:30:00,0.73,0.751,0.021,0.021,0.000441,2.84%
Apr-25,2025-04-10T21:45:00,0.71,0.73,0.02,0.02,0.0004,2.79%
Apr-25,2025-04-10T22:00:00,0.49,0.505,0.015,0.015,0.000225,3.06%
Apr-25,2025-04-10T22:15:00,2.59,2.6,0.01,0.01,0.0001,0.39%
Apr-25,2025-04-10T22:30:00,0.32,0.307,-0.013,0.013,0.000169,4.13%
Apr-25,2025-04-10T22:45:00,1.03,0.982,-0.048,0.048,0.002304,4.66%
Apr-25,2025-04-10T23:00:00,0.39,0.358,-0.032,0.032,0.001024,8.18%
Apr-25,2025-04-10T23:15:00,0.31,0.317,0.007,0.007,0.000049,2.16%
Apr-25,2025-04-10T23:30:00,0.34,0.329,-0.011,0.011,0.000121,3.18%
Apr-25,2025-04-10T23:45:00,1.75,1.695,-0.055,0.055,0.003025,3.13%
Apr-25,2025-04-11T00:00:00,1.98,1.991,0.011,0.011,0.000121,0.54%
Apr-25,2025-04-11T00:15:00,0.29,0.302,0.012,0.012,0.000144,4.17%
Apr-25,2025-04-11T00:30:00,0.29,0.301,0.011,0.011,0.000121,3.69%
Apr-25,2025-04-11T00:45:00,0.28,0.295,0.015,0.015,0.000225,5.31%
Apr-25,2025-04-11T01:00:00,0.27,0.281,0.011,0.011,0.000121,4.08%
Apr-25,2025-04-11T01:15:00,0.26,0.261,0.001,0.001,0.000001,0.38%
Apr-25,2025-04-11T01:30:00,0.24,0.251,0.011,0.011,0.000121,4.64%
Apr-25,2025-04-11T01:45:00,0.24,0.252,0.012,0.012,0.000144,4.88%
Apr-25,2025-04-11T02:00:00,0.26,0.26,0,0,0,0.09%
Apr-25,2025-04-11T02:15:00,0.26,0.262,0.002,0.002,0.000004,0.91%
Apr-25,2025-04-11T02:30:00,0.28,0.275,-0.005,0.005,0.000025,1.93%
Apr-25,2025-04-11T02:45:00,0.28,0.279,-0.001,0.001,0.000001,0.21%
Apr-25,2025-04-11T03:00:00,1.3,1.306,0.006,0.006,0.000036,0.47%
Apr-25,2025-04-11T03:15:00,1.86,1.872,0.012,0.012,0.000144,0.66%
Apr-25,2025-04-11T03:30:00,0.91,0.927,0.017,0.017,0.000289,1.85%
Apr-25,2025-04-11T03:45:00,0.27,0.289,0.019,0.019,0.000361,7.13%
Apr-25,2025-04-11T04:00:00,0.24,0.26,0.02,0.02,0.0004,8.32%
Apr-25,2025-04-11T04:15:00,0.24,0.264,0.024,0.024,0.000576,9.84%
Apr-25,2025-04-11T04:30:00,0.24,0.272,0.032,0.032,0.001024,13.27%
Apr-25,2025-04-11T04:45:00,0.26,0.257,-0.003,0.003,0.000009,1.34%
Apr-25,2025-04-11T05:00:00,0.24,0.249,0.009,0.009,0.000081,3.73%
Apr-25,2025-04-11T05:15:00,0.3,0.289,-0.011,0.011,0.000121,3.55%
Apr-25,2025-04-11T05:30:00,0.27,0.279,0.009,0.009,0.000081,3.25%
Apr-25,2025-04-11T05:45:00,0.27,0.267,-0.003,0.003,0.000009,0.93%
Apr-25,2025-04-11T06:00:00,0.27,0.268,-0.002,0.002,0.000004,0.81%
Apr-25,2025-04-11T06:15:00,0.27,0.26,-0.01,0.01,0.0001,3.62%
Apr-25,2025-04-11T06:30:00,0.26,0.259,-0.001,0.001,0.000001,0.41%
Apr-25,2025-04-11T06:45:00,0.24,0.257,0.017,0.017,0.000289,7.14%
Apr-25,2025-04-11T07:00:00,0.24,0.267,0.027,0.027,0.000729,11.07%
Apr-25,2025-04-11T07:15:00,1.12,1.228,0.108,0.108,0.011664,9.60%
Apr-25,2025-04-11T07:30:00,0.32,0.34,0.02,0.02,0.0004,6.27%
Apr-25,2025-04-11T07:45:00,0.33,0.345,0.015,0.015,0.000225,4.65%
Apr-25,2025-04-11T08:00:00,0.4,0.483,0.083,0.083,0.006889,20.71%
Apr-25,2025-04-11T08:15:00,0.27,0.361,0.091,0.091,0.008281,33.66%
Apr-25,2025-04-11T08:30:00,0.98,0.585,-0.395,0.395,0.156025,40.28%
Apr-25,2025-04-11T08:45:00,3.26,3.141,-0.119,0.119,0.014161,3.66%
Apr-25,2025-04-11T09:00:00,1.33,1.217,-0.113,0.113,0.012769,8.46%
Apr-25,2025-04-11T09:15:00,0.47,0.551,0.081,0.081,0.006561,17.29%
Apr-25,2025-04-11T09:30:00,0.35,0.325,-0.025,0.025,0.000625,7.13%
Apr-25,2025-04-11T09:45:00,0.3,0.313,0.013,0.013,0.000169,4.47%
Apr-25,2025-04-11T10:00:00,0.3,0.389,0.089,0.089,0.007921,29.73%
Apr-25,2025-04-11T10:15:00,0.33,0.442,0.112,0.112,0.012544,34.03%
Apr-25,2025-04-11T10:30:00,0.35,0.339,-0.011,0.011,0.000121,3.28%
Apr-25,2025-04-11T10:45:00,1.93,1.525,-0.405,0.405,0.164025,20.99%
Apr-25,2025-04-11T11:00:00,2.1,1.838,-0.262,0.262,0.068644,12.48%
Apr-25,2025-04-11T11:15:00,1.85,1.958,0.108,0.108,0.011664,5.82%
Apr-25,2025-04-11T11:30:00,1.61,1.77,0.16,0.16,0.0256,9.91%
Apr-25,2025-04-11T11:45:00,2.06,2.164,0.104,0.104,0.010816,5.05%
Apr-25,2025-04-11T12:00:00,1.7,1.888,0.188,0.188,0.035344,11.08%
Apr-25,2025-04-11T12:15:00,1.79,1.862,0.072,0.072,0.005184,4.03%
Apr-25,2025-04-11T12:30:00,1.83,1.954,0.124,0.124,0.015376,6.78%
Apr-25,2025-04-11T12:45:00,1.89,1.892,0.002,0.002,0.000004,0.13%
Apr-25,2025-04-11T13:00:00,1.95,1.953,0.003,0.003,0.000009,0.15%
Apr-25,2025-04-11T13:15:00,1.98,1.945,-0.035,0.035,0.001225,1.75%
Apr-25,2025-04-11T13:30:00,2.02,2.04,0.02,0.02,0.0004,0.99%
Apr-25,2025-04-11T13:45:00,2.25,2.257,0.007,0.007,0.000049,0.32%
Apr-25,2025-04-11T14:00:00,2.48,2.116,-0.364,0.364,0.132496,14.67%
Apr-25,2025-04-11T14:15:00,2.4,2.486,0.086,0.086,0.007396,3.58%
Apr-25,2025-04-11T14:30:00,2.77,2.725,-0.045,0.045,0.002025,1.62%
Apr-25,2025-04-11T14:45:00,2.05,1.938,-0.112,0.112,0.012544,5.49%
Apr-25,2025-04-11T15:00:00,0.22,0.45,0.23,0.23,0.0529,104.34%
Apr-25,2025-04-11T15:15:00,0.25,0.239,-0.011,0.011,0.000121,4.22%
Apr-25,2025-04-11T15:30:00,0.24,0.236,-0.004,0.004,0.000016,1.77%
Apr-25,2025-04-11T15:45:00,0.24,0.257,0.017,0.017,0.000289,6.93%
Apr-25,2025-04-11T16:00:00,0.24,0.229,-0.011,0.011,0.000121,4.69%
Apr-25,2025-04-11T16:15:00,0.23,0.208,-0.022,0.022,0.000484,9.38%
Apr-25,2025-04-11T16:30:00,0.22,0.23,0.01,0.01,0.0001,4.65%
Apr-25,2025-04-11T16:45:00,0.2,0.218,0.018,0.018,0.000324,9.05%
Apr-25,2025-04-11T17:00:00,0.21,0.198,-0.012,0.012,0.000144,5.49%
Apr-25,2025-04-11T17:15:00,0.23,0.253,0.023,0.023,0.000529,10.11%
Apr-25,2025-04-11T17:30:00,0.25,0.243,-0.007,0.007,0.000049,2.85%
Apr-25,2025-04-11T17:45:00,0.25,0.249,-0.001,0.001,0.000001,0.40%
Apr-25,2025-04-11T18:00:00,0.25,0.248,-0.002,0.002,0.000004,0.98%
Apr-25,2025-04-11T18:15:00,0.24,0.238,-0.002,0.002,0.000004,0.83%
Apr-25,2025-04-11T18:30:00,0.24,0.239,-0.001,0.001,0.000001,0.26%
Apr-25,2025-04-11T18:45:00,0.25,0.247,-0.003,0.003,0.000009,1.25%
Apr-25,2025-04-11T19:00:00,0.21,0.248,0.038,0.038,0.001444,18.09%
Apr-25,2025-04-11T19:15:00,0.21,0.247,0.037,0.037,0.001369,17.84%
Apr-25,2025-04-11T19:30:00,0.25,0.249,-0.001,0.001,0.000001,0.53%
Apr-25,2025-04-11T19:45:00,0.29,0.282,-0.008,0.008,0.000064,2.60%
Apr-25,2025-04-11T20:00:00,0.32,0.311,-0.009,0.009,0.000081,2.67%
Apr-25,2025-04-11T20:15:00,0.32,0.317,-0.003,0.003,0.000009,0.85%
Apr-25,2025-04-11T20:30:00,0.34,0.313,-0.027,0.027,0.000729,7.83%
Apr-25,2025-04-11T20:45:00,1.76,1.717,-0.043,0.043,0.001849,2.43%
Apr-25,2025-04-11T21:00:00,2.45,2.548,0.098,0.098,0.009604,3.99%
Apr-25,2025-04-11T21:15:00,1.87,1.9,0.03,0.03,0.0009,1.58%
Apr-25,2025-04-11T21:30:00,1.8,1.781,-0.019,0.019,0.000361,1.07%
Apr-25,2025-04-11T21:45:00,1.53,1.586,0.056,0.056,0.003136,3.69%
Apr-25,2025-04-11T22:00:00,1.58,1.498,-0.082,0.082,0.006724,5.22%
Apr-25,2025-04-11T22:15:00,0.74,0.715,-0.025,0.025,0.000625,3.38%
Apr-25,2025-04-11T22:30:00,0.31,0.347,0.037,0.037,0.001369,12%
Apr-25,2025-04-11T22:45:00,0.3,0.319,0.019,0.019,0.000361,6.28%
Apr-25,2025-04-11T23:00:00,0.3,0.314,0.014,0.014,0.000196,4.64%
Apr-25,2025-04-11T23:15:00,0.29,0.31,0.02,0.02,0.0004,6.77%
Apr-25,2025-04-11T23:30:00,0.29,0.287,-0.003,0.003,0.000009,1.10%
Apr-25,2025-04-11T23:45:00,0.26,0.269,0.009,0.009,0.000081,3.31%
Apr-25,2025-04-12T00:00:00,0.26,0.257,-0.003,0.003,0.000009,1.10%
Apr-25,2025-04-12T00:15:00,0.28,0.275,-0.005,0.005,0.000025,1.92%
Apr-25,2025-04-12T00:30:00,0.31,0.302,-0.008,0.008,0.000064,2.60%
Apr-25,2025-04-12T00:45:00,0.32,0.31,-0.01,0.01,0.0001,3.17%
Apr-25,2025-04-12T01:00:00,0.31,0.309,-0.001,0.001,0.000001,0.29%
Apr-25,2025-04-12T01:15:00,0.31,0.303,-0.007,0.007,0.000049,2.36%
Apr-25,2025-04-12T01:30:00,0.29,0.292,0.002,0.002,0.000004,0.56%
Apr-25,2025-04-12T01:45:00,0.27,0.273,0.003,0.003,0.000009,1.11%
Apr-25,2025-04-12T02:00:00,0.27,0.269,-0.001,0.001,0.000001,0.32%
Apr-25,2025-04-12T02:15:00,0.31,0.29,-0.02,0.02,0.0004,6.32%
Apr-25,2025-04-12T02:30:00,0.29,0.285,-0.005,0.005,0.000025,1.59%
Apr-25,2025-04-12T02:45:00,0.31,0.301,-0.009,0.009,0.000081,2.84%
Apr-25,2025-04-12T03:00:00,0.31,0.299,-0.011,0.011,0.000121,3.45%
Apr-25,2025-04-12T03:15:00,0.31,0.3,-0.01,0.01,0.0001,3.10%
Apr-25,2025-04-12T03:30:00,0.3,0.295,-0.005,0.005,0.000025,1.51%
Apr-25,2025-04-12T03:45:00,0.3,0.298,-0.002,0.002,0.000004,0.66%
Apr-25,2025-04-12T04:00:00,0.29,0.291,0.001,0.001,0.000001,0.38%
Apr-25,2025-04-12T04:15:00,0.27,0.274,0.004,0.004,0.000016,1.34%
Apr-25,2025-04-12T04:30:00,1.05,1.114,0.064,0.064,0.004096,6.06%
Apr-25,2025-04-12T04:45:00,0.32,0.321,0.001,0.001,0.000001,0.33%
Apr-25,2025-04-12T05:00:00,2.58,2.492,-0.088,0.088,0.007744,3.42%
Apr-25,2025-04-12T05:15:00,1.09,1.116,0.026,0.026,0.000676,2.35%
Apr-25,2025-04-12T05:30:00,0.39,0.388,-0.002,0.002,0.000004,0.39%
Apr-25,2025-04-12T05:45:00,2.54,2.455,-0.085,0.085,0.007225,3.35%
Apr-25,2025-04-12T06:00:00,1.84,1.853,0.013,0.013,0.000169,0.69%
Apr-25,2025-04-12T06:15:00,0.36,0.338,-0.022,0.022,0.000484,6.19%
Apr-25,2025-04-12T06:30:00,0.38,0.344,-0.036,0.036,0.001296,9.46%
Apr-25,2025-04-12T06:45:00,0.33,0.326,-0.004,0.004,0.000016,1.11%
Apr-25,2025-04-12T07:00:00,0.36,0.375,0.015,0.015,0.000225,4.20%
Apr-25,2025-04-12T07:15:00,2.39,2.712,0.322,0.322,0.103684,13.47%
Apr-25,2025-04-12T07:30:00,1.67,1.734,0.064,0.064,0.004096,3.81%
Apr-25,2025-04-12T07:45:00,1.47,1.688,0.218,0.218,0.047524,14.82%
Apr-25,2025-04-12T08:00:00,0.31,0.414,0.104,0.104,0.010816,33.69%
Apr-25,2025-04-12T08:15:00,0.43,0.348,-0.082,0.082,0.006724,18.96%
Apr-25,2025-04-12T08:30:00,0.34,0.384,0.044,0.044,0.001936,12.92%
Apr-25,2025-04-12T08:45:00,0.45,0.523,0.073,0.073,0.005329,16.16%
Apr-25,2025-04-12T09:00:00,0.51,0.622,0.112,0.112,0.012544,22.03%
Apr-25,2025-04-12T09:15:00,0.47,0.588,0.118,0.118,0.013924,25.11%
Apr-25,2025-04-12T09:30:00,1.94,1.479,-0.461,0.461,0.212521,23.76%
Apr-25,2025-04-12T09:45:00,0.58,0.705,0.125,0.125,0.015625,21.50%
Apr-25,2025-04-12T10:00:00,2.57,2.313,-0.257,0.257,0.066049,9.99%
Apr-25,2025-04-12T10:15:00,4.84,4.368,-0.472,0.472,0.222784,9.76%
Apr-25,2025-04-12T10:30:00,4.91,4.882,-0.028,0.028,0.000784,0.57%
Apr-25,2025-04-12T10:45:00,5.48,5.513,0.033,0.033,0.001089,0.61%
Apr-25,2025-04-12T11:00:00,5.67,5.45,-0.22,0.22,0.0484,3.87%
Apr-25,2025-04-12T11:15:00,5.93,5.598,-0.332,0.332,0.110224,5.61%
Apr-25,2025-04-12T11:30:00,6,5.562,-0.438,0.438,0.191844,7.29%
Apr-25,2025-04-12T11:45:00,6,5.794,-0.206,0.206,0.042436,3.43%
Apr-25,2025-04-12T12:00:00,6.01,5.541,-0.469,0.469,0.219961,7.80%
Apr-25,2025-04-12T12:15:00,4.91,4.948,0.038,0.038,0.001444,0.78%
Apr-25,2025-04-12T12:30:00,2.3,2.874,0.574,0.574,0.329476,24.95%
Apr-25,2025-04-12T12:45:00,3.13,3.056,-0.074,0.074,0.005476,2.38%
Apr-25,2025-04-12T13:00:00,3.77,3.901,0.131,0.131,0.017161,3.46%
Apr-25,2025-04-12T13:15:00,3.82,3.313,-0.507,0.507,0.257049,13.28%
Apr-25,2025-04-12T13:30:00,2.43,2.949,0.519,0.519,0.269361,21.37%
Apr-25,2025-04-12T13:45:00,2.22,2.261,0.041,0.041,0.001681,1.84%
Apr-25,2025-04-12T14:00:00,2.95,3.197,0.247,0.247,0.061009,8.39%
Apr-25,2025-04-12T14:15:00,4.1,3.456,-0.644,0.644,0.414736,15.71%
Apr-25,2025-04-12T14:30:00,2.68,3.08,0.4,0.4,0.16,14.94%
Apr-25,2025-04-12T14:45:00,3.92,3.357,-0.563,0.563,0.316969,14.35%
Apr-25,2025-04-12T15:00:00,3.84,3.39,-0.45,0.45,0.2025,11.72%
Apr-25,2025-04-12T15:15:00,3.29,3.379,0.089,0.089,0.007921,2.72%
Apr-25,2025-04-12T15:30:00,2.09,2.67,0.58,0.58,0.3364,27.77%
Apr-25,2025-04-12T15:45:00,2.71,2.443,-0.267,0.267,0.071289,9.85%
Apr-25,2025-04-12T16:00:00,2.18,2.27,0.09,0.09,0.0081,4.13%
Apr-25,2025-04-12T16:15:00,2.37,2.142,-0.228,0.228,0.051984,9.64%
Apr-25,2025-04-12T16:30:00,1.89,2.223,0.333,0.333,0.110889,17.64%
Apr-25,2025-04-12T16:45:00,2.13,1.754,-0.376,0.376,0.141376,17.64%
Apr-25,2025-04-12T17:00:00,2.07,1.517,-0.553,0.553,0.305809,26.70%
Apr-25,2025-04-12T17:15:00,1.04,1.279,0.239,0.239,0.057121,22.94%
Apr-25,2025-04-12T17:30:00,0.58,0.692,0.112,0.112,0.012544,19.26%
Apr-25,2025-04-12T17:45:00,0.59,0.539,-0.051,0.051,0.002601,8.57%
Apr-25,2025-04-12T18:00:00,0.58,0.491,-0.089,0.089,0.007921,15.35%
Apr-25,2025-04-12T18:15:00,0.47,0.468,-0.002,0.002,0.000004,0.36%
Apr-25,2025-04-12T18:30:00,0.43,0.426,-0.004,0.004,0.000016,1.02%
Apr-25,2025-04-12T18:45:00,0.24,0.384,0.144,0.144,0.020736,60.20%
Apr-25,2025-04-12T19:00:00,0.26,0.246,-0.014,0.014,0.000196,5.52%
Apr-25,2025-04-12T19:15:00,0.2,0.263,0.063,0.063,0.003969,31.51%
Apr-25,2025-04-12T19:30:00,0.22,0.23,0.01,0.01,0.0001,4.65%
Apr-25,2025-04-12T19:45:00,0.29,0.286,-0.004,0.004,0.000016,1.52%
Apr-25,2025-04-12T20:00:00,0.32,0.311,-0.009,0.009,0.000081,2.89%
Apr-25,2025-04-12T20:15:00,0.44,0.422,-0.018,0.018,0.000324,4%
Apr-25,2025-04-12T20:30:00,0.63,0.598,-0.032,0.032,0.001024,5.14%
Apr-25,2025-04-12T20:45:00,0.78,0.755,-0.025,0.025,0.000625,3.14%
Apr-25,2025-04-12T21:00:00,0.63,0.644,0.014,0.014,0.000196,2.18%
Apr-25,2025-04-12T21:15:00,0.69,0.668,-0.022,0.022,0.000484,3.24%
Apr-25,2025-04-12T21:30:00,1.42,1.373,-0.047,0.047,0.002209,3.28%
Apr-25,2025-04-12T21:45:00,1.49,1.492,0.002,0.002,0.000004,0.15%
Apr-25,2025-04-12T22:00:00,0.6,0.607,0.007,0.007,0.000049,1.17%
Apr-25,2025-04-12T22:15:00,0.6,0.631,0.031,0.031,0.000961,5.21%
Apr-25,2025-04-12T22:30:00,0.49,0.506,0.016,0.016,0.000256,3.21%
Apr-25,2025-04-12T22:45:00,0.38,0.387,0.007,0.007,0.000049,1.85%
Apr-25,2025-04-12T23:00:00,0.3,0.311,0.011,0.011,0.000121,3.71%
Apr-25,2025-04-12T23:15:00,0.26,0.282,0.022,0.022,0.000484,8.52%
Apr-25,2025-04-12T23:30:00,0.26,0.268,0.008,0.008,0.000064,3.11%
Apr-25,2025-04-12T23:45:00,0.27,0.269,-0.001,0.001,0.000001,0.50%
Apr-25,2025-04-13T00:00:00,0.29,0.287,-0.003,0.003,0.000009,1.17%
Apr-25,2025-04-13T00:15:00,0.29,0.287,-0.003,0.003,0.000009,0.87%
Apr-25,2025-04-13T00:30:00,0.28,0.28,0,0,0,0.09%
Apr-25,2025-04-13T00:45:00,0.28,0.281,0.001,0.001,0.000001,0.30%
Apr-25,2025-04-13T01:00:00,0.27,0.273,0.003,0.003,0.000009,1.26%
Apr-25,2025-04-13T01:15:00,0.25,0.253,0.003,0.003,0.000009,1.23%
Apr-25,2025-04-13T01:30:00,0.25,0.252,0.002,0.002,0.000004,0.74%
Apr-25,2025-04-13T01:45:00,0.28,0.276,-0.004,0.004,0.000016,1.30%
Apr-25,2025-04-13T02:00:00,0.29,0.289,-0.001,0.001,0.000001,0.23%
Apr-25,2025-04-13T02:15:00,0.29,0.289,-0.001,0.001,0.000001,0.25%
Apr-25,2025-04-13T02:30:00,0.28,0.281,0.001,0.001,0.000001,0.48%
Apr-25,2025-04-13T02:45:00,0.28,0.281,0.001,0.001,0.000001,0.53%
Apr-25,2025-04-13T03:00:00,0.27,0.275,0.005,0.005,0.000025,1.81%
Apr-25,2025-04-13T03:15:00,0.26,0.263,0.003,0.003,0.000009,1.21%
Apr-25,2025-04-13T03:30:00,0.26,0.262,0.002,0.002,0.000004,0.67%
Apr-25,2025-04-13T03:45:00,0.3,0.294,-0.006,0.006,0.000036,2.13%
Apr-25,2025-04-13T04:00:00,0.3,0.299,-0.001,0.001,0.000001,0.27%
Apr-25,2025-04-13T04:15:00,0.3,0.293,-0.007,0.007,0.000049,2.38%
Apr-25,2025-04-13T04:30:00,0.29,0.288,-0.002,0.002,0.000004,0.53%
Apr-25,2025-04-13T04:45:00,0.29,0.29,0,0,0,0.16%
Apr-25,2025-04-13T05:00:00,0.27,0.265,-0.005,0.005,0.000025,1.95%
Apr-25,2025-04-13T05:15:00,0.25,0.251,0.001,0.001,0.000001,0.41%
Apr-25,2025-04-13T05:30:00,0.26,0.26,0,0,0,0.09%
Apr-25,2025-04-13T05:45:00,0.29,0.268,-0.022,0.022,0.000484,7.56%
Apr-25,2025-04-13T06:00:00,0.3,0.295,-0.005,0.005,0.000025,1.53%
Apr-25,2025-04-13T06:15:00,0.29,0.297,0.007,0.007,0.000049,2.39%
Apr-25,2025-04-13T06:30:00,0.28,0.283,0.003,0.003,0.000009,1.12%
Apr-25,2025-04-13T06:45:00,0.28,0.282,0.002,0.002,0.000004,0.80%
Apr-25,2025-04-13T07:00:00,0.26,0.277,0.017,0.017,0.000289,6.66%
Apr-25,2025-04-13T07:15:00,0.24,0.275,0.035,0.035,0.001225,14.63%
Apr-25,2025-04-13T07:30:00,0.2,0.246,0.046,0.046,0.002116,22.85%
Apr-25,2025-04-13T07:45:00,0.24,0.27,0.03,0.03,0.0009,12.59%
Apr-25,2025-04-13T08:00:00,0.24,0.29,0.05,0.05,0.0025,20.82%
Apr-25,2025-04-13T08:15:00,0.23,0.271,0.041,0.041,0.001681,17.83%
Apr-25,2025-04-13T08:30:00,0.23,0.272,0.042,0.042,0.001764,18.26%
Apr-25,2025-04-13T08:45:00,0.46,0.384,-0.076,0.076,0.005776,16.46%
Apr-25,2025-04-13T09:00:00,0.77,0.959,0.189,0.189,0.035721,24.51%
Apr-25,2025-04-13T09:15:00,0.76,0.824,0.064,0.064,0.004096,8.45%
Apr-25,2025-04-13T09:30:00,0.53,0.579,0.049,0.049,0.002401,9.31%
Apr-25,2025-04-13T09:45:00,0.56,0.589,0.029,0.029,0.000841,5.24%
Apr-25,2025-04-13T10:00:00,0.55,0.556,0.006,0.006,0.000036,1.04%
Apr-25,2025-04-13T10:15:00,1.07,0.571,-0.499,0.499,0.249001,46.67%
Apr-25,2025-04-13T10:30:00,0.12,0.245,0.125,0.125,0.015625,104.23%
Apr-25,2025-04-13T10:45:00,0.11,0.227,0.117,0.117,0.013689,105.97%
Apr-25,2025-04-13T11:00:00,0.09,0.301,0.211,0.211,0.044521,234.10%
Apr-25,2025-04-13T11:15:00,0.09,0.311,0.221,0.221,0.048841,245.05%
Apr-25,2025-04-13T11:30:00,0.12,0.325,0.205,0.205,0.042025,170.70%
Apr-25,2025-04-13T11:45:00,1.02,0.744,-0.276,0.276,0.076176,27.06%
Apr-25,2025-04-13T12:00:00,1.47,1.115,-0.355,0.355,0.126025,24.17%
Apr-25,2025-04-13T12:15:00,1.33,1.151,-0.179,0.179,0.032041,13.46%
Apr-25,2025-04-13T12:30:00,1.88,1.659,-0.221,0.221,0.048841,11.74%
Apr-25,2025-04-13T12:45:00,1.43,1.707,0.277,0.277,0.076729,19.36%
Apr-25,2025-04-13T13:00:00,1.96,1.86,-0.1,0.1,0.01,5.13%
Apr-25,2025-04-13T13:15:00,2.35,1.953,-0.397,0.397,0.157609,16.91%
Apr-25,2025-04-13T13:30:00,2.66,2.507,-0.153,0.153,0.023409,5.75%
Apr-25,2025-04-13T13:45:00,1.82,2.63,0.81,0.81,0.6561,44.49%
Apr-25,2025-04-13T14:00:00,1.64,1.575,-0.065,0.065,0.004225,3.95%
Apr-25,2025-04-13T14:15:00,1.33,1.478,0.148,0.148,0.021904,11.09%
Apr-25,2025-04-13T14:30:00,0.47,0.778,0.308,0.308,0.094864,65.47%
Apr-25,2025-04-13T14:45:00,1.06,0.993,-0.067,0.067,0.004489,6.33%
Apr-25,2025-04-13T15:00:00,0.96,0.877,-0.083,0.083,0.006889,8.62%
Apr-25,2025-04-13T15:15:00,0.93,0.863,-0.067,0.067,0.004489,7.17%
Apr-25,2025-04-13T15:30:00,0.87,0.979,0.109,0.109,0.011881,12.54%
Apr-25,2025-04-13T15:45:00,0.9,0.811,-0.089,0.089,0.007921,9.87%
Apr-25,2025-04-13T16:00:00,0.87,0.679,-0.191,0.191,0.036481,21.91%
Apr-25,2025-04-13T16:15:00,0.89,0.676,-0.214,0.214,0.045796,24.02%
Apr-25,2025-04-13T16:30:00,0.89,0.612,-0.278,0.278,0.077284,31.25%
Apr-25,2025-04-13T16:45:00,0.9,0.611,-0.289,0.289,0.083521,32.08%
Apr-25,2025-04-13T17:00:00,1.46,1.294,-0.166,0.166,0.027556,11.38%
Apr-25,2025-04-13T17:15:00,2.02,1.748,-0.272,0.272,0.073984,13.45%
Apr-25,2025-04-13T17:30:00,0.85,0.556,-0.294,0.294,0.086436,34.62%
Apr-25,2025-04-13T17:45:00,0.14,0.298,0.158,0.158,0.024964,112.53%
Apr-25,2025-04-13T18:00:00,0.13,0.211,0.081,0.081,0.006561,62.46%
Apr-25,2025-04-13T18:15:00,0.12,0.176,0.056,0.056,0.003136,46.87%
Apr-25,2025-04-13T18:30:00,0.12,0.204,0.084,0.084,0.007056,70.12%
Apr-25,2025-04-13T18:45:00,0.1,0.176,0.076,0.076,0.005776,75.54%
Apr-25,2025-04-13T19:00:00,0.31,0.246,-0.064,0.064,0.004096,20.63%
Apr-25,2025-04-13T19:15:00,0.23,0.274,0.044,0.044,0.001936,19.21%
Apr-25,2025-04-13T19:30:00,0.29,0.272,-0.018,0.018,0.000324,6.31%
Apr-25,2025-04-13T19:45:00,1.84,1.941,0.101,0.101,0.010201,5.49%
Apr-25,2025-04-13T20:00:00,0.34,0.321,-0.019,0.019,0.000361,5.50%
Apr-25,2025-04-13T20:15:00,0.33,0.332,0.002,0.002,0.000004,0.52%
Apr-25,2025-04-13T20:30:00,0.32,0.329,0.009,0.009,0.000081,2.80%
